Topic,Key Concepts/Themes
"1) Maximize the Beauty - fully channel the beauty with in. Maybe ask what makes this moment beautiful? See if beauty can be increased in every situation. MtB also could be taken as a use of reason and also a disciplining of the senses to focus on beauty (i.e. all the pretty flowers, all the pretty birds). (Update 3-16-21 -This is one of the first 4 points created because they were on the top of my mind when I first started this project. Maximize the Beauty and Full Expression still are some of the concepts I am most influenced by, create an ethos around, consider to be primary to my concept of virtue, and aim to implement as much as possible.) ","Beauty Appreciation, Sensory Focus, Discipline, Aesthetic Enhancement, Present Moment"
"2) Full Expression - it takes a lot of effort for one to understand who they are when they are comfortable and how to channel the most real expressions of themselves what holds people back? Shyness, distraction (inability to focus on that which they want express)","Self-Expression, Authenticity, Overcoming Shyness, Emotional Barriers, Personal Growth"
"3) Expect Rising - this means our expectations are constantly rising. Kind of in line with ""give em an inch they'll take a mile"" also related to law of diminishing returns -""The law of diminishing returns states that in all productive processes, adding more of one factor of production, while holding all others constant (""ceteris paribus""), will at some point yield lower incremental per-unit returns."" Tooo much ice cream too much cash","Escalating Expectations, Diminishing Returns, Moderation, Overindulgence, Resource Management"
"4) The Power of Pettiness - is the idea that pettiness is the destroyer of all people. That even the best of us can’t truly be unaffected by the petty bullshit around us. They can however minimize its effects. In my own life I am obliterated by friends and coworker’s snide remarks and judgments. How do I minimize its effects? By talking myself down, deep breaths, weed, alcohol, revenge...(this is the end of the first four points that were the strongest when I first started making these ideas on a small scrap of paper from the sides on union film sets.)","Pettiness, Emotional Resilience, Coping Mechanisms, Social Judgments, Self-Control"
5) Various meditation - I am a big fan of meditation techniques that help train the mind from moment to moment. There are various techniques that help provide concentration and awareness in the passing moments within shorter intervals than traditional formal meditation. While using a timer to make sure you meditate for at least 10 minutes is helpful. A stopwatch to monitor your awareness of time and to also use time to monitor your concentration and awareness. A and C are essential to have Full Expression. Update 2-26-19 - Passive observation ala Krishnamurti. Just chill. Dont do anything. Just observe whatever is present. Don't react to thoughts just observe them. Don't interact with them. If they are mind blowing write them down. Then return to just chilling and observing.,"Meditation Techniques, Passive Observation, Concentration, Time Awareness, Mental Clarity"
"6) tolerance - while it seems like an easy point to rally behind, the reality anyone that reads Nietzsche would think otherwise. By tolerating mild forms of exploitation we soon begin to think if we are encroaching upon the slave mentality Nietzsche is so against. I find myself tolerating crappy food, living conditions, jobs, and relationships. Is there a reward for this or am I just making my life mediocre?","Tolerance Limits, Nietzschean Critique, Mediocrity, Moral Conflict, Life Satisfaction"
"7) - intention vs. non intention - Buddha says our intentions matter most when determining the value of an action while Neech says the opposite. Specifically, that we have our intentions but what comes out of that is the real meat of an action. Good example is my recent heart torturing break up. Nothing was intended to be so terrible but the reality was very painful for me. Thus judge me for letting tragedy strike me when I could have protected myself by 1) giving myself space 2) being aware of the possibilities of the situation better","Intentionality, Consequentialism, Moral Judgement, Emotional Pain, Self-Protection"
8) - Neech real/dumb - Nietzsche had some great points and spoke without fear of repercussion. His ideas still are challenging us today. But his manner of demeaning women and Jews is just dumb. Also needlessly ambiguous over just how much he dislikes Jews. His dislike of women seems pretty clear but I bet he had some hope too.,"Nietzsche Critique, Misogyny, Anti-Semitism, Ambiguity, Philosophical Legacy"
"9) - Camus - beautiful not pragmatic - I love the fall and just the general vibe of Camus. In my opinion the fall is the best combination of fiction and philosophy ever written. For a while I loved Camus like no other but as of recent I’m kind of annoyed by his concept of absurdism. It’s like ""yeah bro sure...life is absurd but is that the best way to describe life?"" In general existentialist thought seems to discount the need for pragmatic thought in most of the situations we encounter.","Absurdism, Pragmatism, Fiction-Philosophy Blend, Existential Critique, Emotional Aesthetics"
10) - pragmatism in absolutes too much variability- Pragmatism is in a way the Buddhism of western philosophy in that it aims at smaller goals and ideas chiefly. Getting deeper pragmatically - philosophy of science - best practices - ideas that lose the weight of hard science and the loftiness of philosophy.,"Pragmatic Philosophy, Scientific Methodology, Best Practices, Flexible Ideals, Practical Goals"
"11) - complexity - avoid decision --> in a way it’s better to just do nothing and avoid any of the consequences that come from failure to appropriately analyze complex decisions. The complexity I am interested in is that which involves morality, love, health, and satisfaction.","Decision Avoidance, Moral Complexity, Risk Aversion, Analysis Paralysis, Inaction Consequences"
12) - Foucault - Silence /friends - Foucault talks about the different types of silences. Harsh vs. pleasant silences that extend throughout the day between friends. More on friends later. Update 2-20-19 – I really want to have more silent hangs. That feeling of intimacy without having to speak. Intimacy that is platonic too.,"Silent Intimacy, Social Dynamics, Platonic Bonds, Communication Styles, Emotional Presence"
13) - Religion - no dogma - man - i.e. - complexity makes religion seem so terrifying. Which one to choose! Oh god! I actually respect all religions and their traditions. Maybe from the idea that they all are some elaborate form of performance art.,"Religious Diversity, Dogma Rejection, Performance Art, Spiritual Exploration, Moral Complexity"
14) Buddhism - a) life is pleasant - most of the time really - gawd don’t be such a hater Buddha B) lets blaze - one of the few religions to be so explicitly anti- weed tho they all seem to be,"Buddhist Critique, Life Satisfaction, Substance Restriction, Mental Qualities, Spiritual Practices"
15) run dork run - be free - let all your weirdness come out - full expression might just make all your awkward traits beautiful,"Authentic Expression, Social Confidence, Weirdness Acceptance, Self-Acceptance, Inner Beauty"
"16) games – Be a good lil sociopath path and self-monitor as they say “fake it b4 u make it"" - so much is a game, but it’s usually played with people we are not so close to, so maybe we can transcend games but the give and take of life seems so entrenched... to see how you can improve your self-monitoring consult Snyder’s guide to self-monitoring (SELF-MONITORING SCALE by Mark Snyder (1974)) Self – Monitor http://en.wikipedia.org/wiki/Self-monitoring Snyder’s scale - http://faculty.washington.edu/janegf/selfmonitoring.htm Sociopath – be a good sociopath","Social Adaptation, Self-Monitoring, Sociopathic Traits, Behavioral Strategy, Emotional Detachment"
17)games - hold back - don’t show your cards - don’t invest all you can - always hold back a little - in a way this may really help you preserve some mental health and buoyancy,"Strategic Reserve, Emotional Conservation, Risk Management, Social Caution, Mental Preservation"
"18) don’t step on any buddy’s toes - contrasting with Nietzsche's will to power - this idea says you can get yours with your strong will but don’t fuck over others in the process, especially those close to you. Hard to always follow.","Ethical Boundaries, Power Restraint, Interpersonal Respect, Nietzschean Balance, Conflict Avoidance"
19) take chances -> shit where you eat - the babes we like are often those that hang with our friends. The people we do business with are often are friends. Relats n biz get ugly often but sometimes you can’t avoid shitting where you eat.,"Risk-Taking, Social Consequences, Opportunism, Relational Complexity, Unavoidable Conflict"
20) Nietzsche - will to power - exert it - dominate - within bounds - i.e. git it! But don’t step on toes but do be a force a leader - maybe even just don’t look back at the path of destruction caused in creating something that will put u in a much better place in some or many ways,"Will to Power, Leadership, Controlled Dominance, Ambition, Constructive Destruction"
21) talk to yourself - rap to yourself - sing to yourself - write to yourself - think to yourself - make your mind as healthy and flexible as possible - this weird interior dialogue may help,"Self-Dialogue, Mental Flexibility, Creative Expression, Cognitive Health, Introspection"
